VNUM	LOCALE_NAME
2156	Strong Snake Swordman
2157	Strong Snake Archer
2158	Strong Desert Outlaw
2191	Giant Tortoise
2192	Dark Giant Tortoise
2201	Fighting Tiger Minion
2202	Flame Ghost
2203	Fighting Tiger
2204	Flame
2205	Flame Warrior
2206	Flame King
2207	Dark Flame King
2231	Strong Fight Tiger Slave
2232	Strong Flame Ghost
2233	Strong Fighting Tiger
2234	Strong Flame Ghost
2235	Strong Flame Warrior
2291	Red Dragon
2301	Ghost Tree
2302	Ghost Stump
2303	Dryad
2304	Ghost Willow
2305	Evil Tree
2306	Giant Ghost Tree
2307	Ghost Tree Lord
2311	Red Ghost Tree
2312	Red Ghost Stump
2313	Red Dryad
2314	Red Ghost Willow
2315	Red Evil Tree
2401	Setaou Fighter
2402	Setaou Hunter
2403	Setaou Mystic
2404	Setaou Leader
2411	Setaou Soldier
2412	Setaou Archer
2413	Setaou Magistrate
2414	Setaou Commander
2415	Setaou Commander
2431	????
2432	????
2433	ÃµÀÇ¹ý»ç
2434	????
2451	?????
2452	?????
2453	?????
2454	?????
2491	Captain Yonghan
2492	General Yonghan
2493	Beran-Setaou
2494	Captain Huashin
2495	General Huashin
2501	Jellyfish of Hell
2502	Hell Hound
2503	Zombie
2504	Hell Officer
2505	Hell Guard
2506	Double-head Hell Archer
2507	Infernal Claw
2508	Hell Warrior
2509	Hell Archer
2510	Hell Spearman
2511	Hell Priest
2512	Hell Major
2513	Hell Slaughterer
2514	Hell General
2541	Evil Hell Warrior
2542	Evil Hell Archer
2543	Evil Hell Spearman
2544	Evil Hell Priest
2545	Evil Hell Major
2546	Evil Hell Slaughterer
2547	Evil Hell General
2591	Tartaros
2592	Hell Bastard
2593	Hell Bastard
2594	Hell Bastard
2595	Erebos
2596	Azrael's Spawn
2597	Charon
2598	Azrael
2600	Zodiac Wolf
2601	Zodiac Blue Wolf
2602	Zodiac Lykos
2603	Zodiac Archer
2604	Zodiac Wild Boar
2605	Red Zodiac Wild Boar
2606	Zodiac Scrofa
2607	Zodiac Mi-Jung
2608	Zodiac Bera
2609	Zodiac Bear
2610	Zodiac Grizzly Bear
2611	Zodiac Brown Bear
2612	Zodiac Eun-Jung
2613	Zodiac Tigris
2614	Zodiac Tiger
2615	White Zodiac Tiger
2616	Zodiac Se-Rang
2617	Zodiac Jin-Hee
2618	Zodiac Baby Spider
2619	Zodiac Poison Spider
2620	Red Zodiac Poison Spider
2621	Zodiac Claw Spider
2622	Zodiac Soldier Spider
2623	Zodiac Flame Ghost
2624	Zodiac Fighting Tiger
2625	Zodiac Flame
2626	Zodiac Flame Warrior
2627	Zodiac Flame King
2628	Dark Zodiac Flame King
2629	Savage Zodiac Infantry
2630	Savage Zodiac Minion
2631	Savage Zodiac Archer
2632	Savage Zodiac General
2633	Bestial Zodiac Captain
2634	Enchanted Zodiac Ice
2635	Zodiac Ice Killer Whale
2636	Zodiac Ice Bug
2637	Zodiac Ice Lion
2638	Frosty Zodiac Ice Man
2639	Zodiac Yeti
2640	Zodiac Ice Golem
2641	Zodiac Desert Fox
2642	Zodiac King Scorpion
2643	Zodiac Snake Swordman
2644	Zodiac Snake Archer
2645	Zodiac Desert Outlaw
2646	Zodiac Black Wind Sold.
2647	Zodiac Black Wind Maniac
2648	Zodiac Black Wind Archer
2649	Zodiac Mahon
2650	Zodiac Bo
2651	Zodiac Goo-Pae
2652	Zodiac Chuong
2653	Bestial Zodiac Scorp-Man
2654	Zodiac Scorpion Archer
2655	Zodiac Dervish
2656	Zodiac Tree Frog Soldier
2657	Zodiac Tree Frog Leader
2658	Zodiac Bogeyman
2659	Zodiac Destroyer
2660	Zodiac Axe Fighter
2661	Zodiac Thousand Fighter
2662	Dark Zodiac Fanatic
2663	Zodiac Arahan
2664	Esoteric Zodiac Arahan
2665	Chief Eso. Zodiac Arahan
2666	Dark Zodiac Executioner
2667	Dark Zodiac Tormentor
2668	Zodiac Summoner
2669	Elite Zodiac Orc
2670	Elite Zodiac Orc Scout
2671	Elite Zodiac Orc Fighter
2672	El. Zodiac Orc Sorcerer
2673	Elite Zodiac Orc General
2674	Black Zodiac Orc
2675	Black Zodiac Orc Giant
2676	Zodiac RT Amazon
2677	Zodiac RT Assassin
2678	Zodiac RT Magician
2679	Zodiac RT Executioner
2680	Zodiac Crab Warrior
2681	Zodiac Scorpion Marksman
2682	Zodiac Shrimp Soldier
2683	Zodiac Diabolical Hermit
2684	Zodiac Armoured Crab
2685	Gigantic Zodiac Biter
2686	Gig. Zodiac Slaughterer
2687	Zodiac Magus
2688	Zodiac Twiant
2689	Zodiac Ogre Executioner
2690	Zodiac Ogre Archer
2691	Zodiac Brawl Ogre
2692	Zodiac Ogre Magus
2700	Vargulf
2701	Vargulf Soldier
2702	Vargulf General
2703	Cerberus
2704	Snake Cerberus
2705	Dragon Cerberus
2706	Centaur
2707	Centaur Warrior
2708	Centaur General
2709	Moloch
2710	Moloch Warrior
2711	Moloch General
2712	Deathwing
2713	Diseased Deathwing
2714	Putrid Deathwing
2715	Zephyr
2716	Zephyr Warrior
2717	Zephyr General
2718	Uruk
2719	Uruk Warrior
2720	Uruk General
2721	Carniphant
2722	Carniphant Warrior
2723	Carniphant General
2724	Spartan
2725	Spartan Soldier
2726	Spartan General
2727	Bone Gladiator
2728	Bone Gladiator Soldier
2729	Bone Gladiator General
2730	Scarabaeus Sagittarius
2731	Scarabaeus Gigantus
2732	Scarabaeus Virgo
2733	Iron Archer
2734	Iron Warrior
2735	Iron General
2736	Refugee
2737	Damage_Trap
2750	Zi Officer
2751	Zi Guardian
2752	Zi General
2760	Chou Officer
2761	Chou Guardian
2762	Chou General
2770	Yin Officer
2771	Yin Guardian
2772	Yin General
2780	Mao Officer
2781	Mao Guardian
2782	Mao General
2790	Chen Officer
2791	Chen Guardian
2792	Chen General
2800	Si Officer
2801	Si Guardian
2802	Si General
2810	Wu Officer
2811	Wu Guardian
2812	Wu General
2820	Wei Officer
2821	Wei Guardian
2822	Wei General
2830	Shen Officer
2831	Shen Guardian
2832	Shen General
2840	You Officer
2841	You Guardian
2842	You General
2850	Xu Officer
2851	Xu Guardian
2852	Xu General
2860	Hai Officer
2861	Hai Guardian
2862	Hai General
2900	Metin of the Rat
2901	Metin of the Ox
2902	Metin of the Tiger
2903	Metin of the Dragon
2904	Metin of the Snake
2905	Metin of the Horse
2906	Metin of the Goat
2907	Metin of the Monkey
2908	Metin of the Dog
3001	Gnoll Warrior
3002	Gnoll Archer
3003	Gnoll Defender
3004	Gnoll Magician
3005	Gnoll General
3090	Gnoll Lord
3091	Supreme Gnoll Guard
3101	One-eyed Slugger
3102	Cyclops Soldier
3103	Cyclops Magician
3104	Cyclops Executioner
3105	General Outis
3190	Arges
3191	Polyphemos
3201	Manticore Warrior
3202	Manticore Soldier
3203	Manticore Magus
3204	Manticore Executioner
3205	General Cor
3290	Rakshasa
3291	Martyaxwar
3301	Lemures Warrior
3302	Lemures Soldier
3303	Lemures Magician
3304	Lemures Executioner
3305	Lemures General
3390	Lemures Prince
3391	Lemures Bodyguard
3401	Tritonic Moray
3402	Shark Soldier
3403	Tritonic Magician
3404	Tritonic Hunter
3405	Tritonic Slasher
3490	General Kappa
3491	Triton
3501	Red Thief Amazon
3502	Red Thief Assassin
3503	Red Thief Magician
3504	Red Thief Executioner
3505	Black General
3551	Brutal Red Thief Amazon
3552	Brut. Red Thief Assassin
3553	Brut. Red Thief Magician
3554	Brut.RedThiefExecutioner
3555	White General
3590	Bone Face
3591	Red Chief
3595	Brutal Bone Face
3596	Brutal Red Chief
3601	Crab Warrior
3602	Scorpion Marksman
3603	Shrimp Soldier
3604	Diabolical Hermit
3605	Armoured Crab
3690	General Lobster
3691	King Crab
3701	Gigantic Biter
3702	Gigantic Slaughterer
3703	Gigantic Magus
3704	Twiant
3705	Captain Hooks
3790	Gargoyle
3791	King Wubba
3801	Hangork
3802	Archie Ogre
3803	Brawl Ogre
3804	Ogre Magus
3805	General Ogg
3890	Captain Shruk
3891	The Great Ogre
3901	Willowman
3902	Eoten
3903	Skouman
3904	Captain Hooks
3905	Mu-Shu
3906	Yah-Ki
3907	Moghu
3908	Carnifex
3909	General Albus
3910	Skeletos
3911	Aku-Boku
3912	Arboretum
3913	Sycomore
5001	Pirate Tanaka
5002	Hae-Tae
5003	Monkey
5004	Pirate Tanaka
5101	Weak Ape Soldier
5102	Weak Ape Thrower
5103	Weak Ape Fighter
5104	Weak Ape General
5111	Apesoldier
5112	Apethrower
5113	Apefighter
5114	Apegeneral
5115	Stone Ape
5116	Ape Leader
5121	Strong Ape Soldier
5122	Strong Ape Thrower
5123	Strong Ape Fighter
5124	Strong Ape General
5125	Strong Stone Ape
5126	Strong Gold Ape
5127	Strong Leader Ape
5131	Clever small Apesoldier
5132	Clever small Apethrower
5133	Clever small Apefighter
5134	Clever small Apegeneral
5141	Clever Apesoldier
5142	Clever Apethrower
5143	Clever Apefighter
5144	Clever Apegeneral
5145	Clever Stoneape
5146	Clever Apeleader
5151	Evil strong Apesoldier
5152	Evil strong Apethrower
5153	Evil strong Apefighter
5154	Evil strong Apegeneral
5155	Evil strong Stoneape
5156	Evil strong Goldape
5157	Evil strong Apeleader
5161	Rock Ape
5162	Walking Ape
5163	Ape Lord
5201	Wild Dog
5202	Wild Boar
5203	Red Wild Boar
5204	Bear
5205	Brown Bear
5206	Black Bear
5207	Hungry Brown Bear
5208	Tiger
5209	White Tiger
6001	Ember Flame Ghost
6002	Ember Flame Tiger
6003	Ember Flame
6004	Ember Flame Warrior
6005	Ember Flame King
6006	Ember Flame Troll
6007	Ember Flame Beard
6008	Ember Flame General
6009	Ember Flame Chieftain
6051	Ignitor
6091	Razador
6101	Frost Crystal
6102	Frost Bug
6103	Frost Man
6104	Frost Yeti
6105	Frost Golem
6106	Frost Troll
6107	Frost Beard
6108	Frost General
6109	Frost Lord
6110	Magma Yeti
6111	Magma Golem
6112	Magma Bug
6113	Magma Man
6114	Magma Crystal
6115	Magma Wyvern
6116	Dragon Watcher Idall
6117	Idall's Minion
6118	Dragon Statue
6151	Szel
6191	Nemere
6192	Jotun Thrym
6193	Dragon Queen Meley
6201	Magma Yeti
6202	Magma Golem
6203	Magma Bug
6204	Magma Man
6205	Magma Crystal
6206	Magma Wyvern
6207	Dragon Watcher Idall
6209	Dragon Statue
6301	Ochao Warrior
6302	Ochao Soldier
6303	Ochao Magician
6304	Ochao Executioner
6305	Ochao General
6306	Strong Ochao Warrior
6307	Strong Ochao Soldier
6308	Strong Ochao Magician
6309	Strong Ochao Executioner
6310	Strong Ochao General
6391	Ochao Lord
6392	Ochao Bodyguard
6393	Strong Ochao Lord
6394	Strong Ochao Bodyguard
6401	En-Tai Warrior
6402	En-Tai Soldier
6403	En-Tai Druid
6404	En-Tai Healer
6405	En-Tai Guardian
6406	En-Tai Destroyer
6407	En-Tai Sovereign
6408	Bagjanamu
6409	Ochao Healer
6410	Strong En-Tai Warrior
6411	Strong En-Tai Soldier
6412	Strong En-Tai Druid
6413	Strong En-Tai Healer
6414	Strong En-Tai Destroyer
6415	Event Beran-Setaou
6416	Event Nemere
6417	Event Razador
6418	Event Jotun Thrym
6419	Event Red Dragon
6420	Shadow Warrior
6421	Baashido
6422	Metin of Agony
7001	Apesoldier
7002	Aperider
7003	Gimu Apesoldier
7004	Ape Commander
7005	Stone Ape
7006	Gold Ape
7007	Ape General
7008	Tu-Gui Worker
7009	Tu-Gui Soldier Tester
7010	Tu-Gui White Commander
7012	Bi-Ma-Gui-An
7013	Scorpion King
7014	Smart Scorpion Man
7015	Scorpion Archer
7016	Snake Swordfighter
7017	Snake Archer
7018	Desert Outlaw
7019	Tu-Ji Soldier
7020	Hwa-ryung
7021	Tu-Ji Bum
7022	Cham-Ma
7023	Teawha-Mu
7024	Juk-gui
7025	Dung-Juk
7026	Juk-Mok
7027	Hwaryu Juk
7028	Black Juk-Guimok
7029	Ice Devil
7030	Icehorn Killer Whale
7031	Ice Bug
7032	Seol-Gu
7033	Ice Man
7034	Ice Giant
7035	Ice Golem
7036	Ice Devil
7037	Icehorn Killer Whale
7038	Ice Bug
7039	Seol-Gu
7040	Ice Man
7041	Ice Giant
7042	Ice Golem
7043	Ice Devil
7044	Icehorn Killer Whale
7045	Ice Bug
7046	Seol-Gu
7047	Ice Man
7048	Ice Giant
7049	Ice Golem
7050	Desert Flying Eye
7051	King Scorpion
7052	Young Scorpion Man
7053	Scorpion Archer
7054	Snake Swordsman
7055	Snake Archer
7056	Desert Outlaw
7057	Desert Flying Eye
7058	King Scorpion
7059	Young Scorpion Man
7060	Scorpion Archer
7061	Snake Swordsman
7062	Snake Archer
7063	Desert Outlaw
7064	Desert Flying Eye
7065	King Scorpion
7066	Young Scorpion Man
7067	Scorpion Archer
7068	Snake Swordsman
7069	Snake Archer
7070	Desert Outlaw
7071	Fighting Tiger Minion
7072	Flame Ghost
7073	Fighting Tiger
7074	Flame
7075	Flame Warrior
7076	Fighting Tiger Minion
7077	Flame Ghost
7078	Fighting Tiger
7079	Flame
7080	Flame Warrior
7081	Fighting Tiger Minion
7082	Flame Ghost
7083	Fighting Tiger
7084	Flame
7085	Flame Warrior
7086	Ghost Stump
7087	Dryad
7088	Ghost Willow
7089	Evil Tree
7090	Ghost Stump
7091	Dryad
7092	Ghost Willow
7093	Evil Tree
7094	Ghost Stump
7095	Dryad
7096	Ghost Willow
7101	Cannon
7102	Cannon
7103	Arrowtide Ballista
7104	Arrowtide Ballista
7105	Tower
7106	Hearth
7107	Hearth
7108	Hearth
7109	Hearth
7110	Hearth
7111	Hearth
7112	Hearth
7113	Cheeta
7114	Kraton
7115	Charly
7116	Nini
7117	Zulu
7118	Monkey Warrior Deka
7119	Monkey Warrior Oba
7120	King Keung
7121	Kiros
7122	Manchu
7123	Sgok
7124	Indrik
8001	Metin of Sorrow
8002	Metin of Combat
8003	Metin of Battle
8004	Metin of Greed
8005	Metin of Black
8006	Metin of Darkness
8007	Metin of Jealousy
8008	Metin of Soul
8009	Metin of Shadow
8010	Metin of Toughness
8011	Metin of Devil
8012	Metin of Fall
8013	Metin of Death
8014	Metin of Murder
8015	Metin of Toughness
8016	Metin of Devil
8017	Metin of Fall
8018	Metin of Death
8019	Metin of Murder
8020	Shinsoo Rock
8021	Jinno Rock
8022	Chunjo Rock
8023	Emperor Rock
8024	Metin Pung-Ma
8025	Metin Ma-An
8026	Metin Tu-Young
8027	Metin Jeon-Un
8031	Metin of the Mountain
8032	Metin of Vengeance
8033	Metin of Solitude
8034	Metin of Arrogance
8035	Metin of Redemption
8036	Metin of Treason
8037	Metin of Resentment
8038	Metin of Retribution
8039	Metin of Pride
8040	Metin of Malevolence
8041	Easter Metin
8042	Easter Metin
8043	Easter Metin
8044	Easter Metin
8045	Easter Metin
8046	Easter Metin
8047	Easter Metin
8048	Easter Metin
8049	Easter Metin
8050	Easter Metin
8051	Metin of Gloom
8052	Metin of Ember
8053	Metin of Vanity
8054	Metin of Wrath
8055	Metin of Calamity
8056	Metin of Malice
8057	Purgatory Fire Metin
8058	Metin of Cold
8059	Metin of the Tree Beings
8060	Pumpkin Metin
8061	Metin of the Forests
8101	Metin of Sorrow
8102	Metin of Combat
8103	Metin of Battle
8104	Metin of Greed
8105	Metin of Black
8106	Metin of Darkness
8107	Metin of Jealousy
8108	Metin of Soul
8109	Metin of Shadow
8110	Metin of Toughness
8111	Metin of Devil
8112	Metin of Fall
8113	Metin of Death
8114	Metin of Murder
8115	Metin of the Moon
8200	Chocolate Metin Stone
8201	Chocolate Metin Stone
8203	Metin of Illumination
8501	Wild Dog
8502	Wild Boar
8503	Bear
8504	White Tiger
8505	Black Giant Orc
8506	Tree Frog Leader
8507	Desert Outlaw
8508	Esoteric Tormentor
8509	Esoteric Summoner
8510	Flame Warrior
8511	Ice Golem
8600	?????
8601	?????
8602	?????
8603	?????
8604	????
8605	????
8606	??
8607	??
8608	±¸¹ÌÈ£
8609	±¸¹ÌÈ£
8610	´©··Åõ¹ü±Í
8611	´©··Åõ¹ü±Í
8612	????
8613	????
8614	??????
8615	??????
8616	Billy Loomis
8617	Jack Torrance
8618	Chucky
8619	Jigsaw
8620	Jason
8621	Michael Myers
8622	Freddy Krueger
8623	Leatherface
9001	Weapon Shop Dealer
9002	Armour Shop Dealer
9003	General Store Saleswoman
9004	Event Helper
9005	Storekeeper
9006	Old Lady
9007	Weapon Shop Dealer
9008	Armour Shop Dealer
9009	Fisherman
9010	General Store
9011	Wedding Planner
9012	Teleporter
10001	Yayang_Area 4002 8995
10002	Yongan_Area 4503 9050
10003	Bokjung_Area 1118 2161
10004	Joan_Area 876 2131
10005	Bakra_Area 9064 2214
10006	Pyungmoo_Area 9372 2188
10007	Yongan_Area 4188 9560
10008	Yayang_Area 3179 8332
10009	Joan_Area 897 1127
10010	Bokjung_Area 1759 2210
10011	Pyungmoo_Area 9343 3143
10012	Bakra_Area 8348 2926
10013	Hwang_Temple 5536 1441
10014	Seungryong 3326 7468
10015	Yongbi_Desert 3467 6329
10016	Kuahlo_Dong 600 4960
10017	Hwang_Temple 5906 1102
10018	Gumsan_Tower 2165 7270
10019	Yayang_Area 3211 9009
10020	Jungrang 1356 43
10021	Bokjung_Area 1168 2920
10022	Waryong 2219 93
10023	Bakra_Area 9098 2948
10024	Imha 2718 130
10025	Mount_Sohan 4993 2984
10026	Lungsam 2887 57
10027	Lungsam 2866 437
10028	Red_Forest 11199 708
10029	Snakefield 10590 7262
10030	Yongbi_Desert 3519 6223
10031	Snakefield 10590 7262
10032	Land_of_Giants 8283 7635
10033	Zin-Grotto 10594 7525
10034	2_Zin-Grotto 10594 7525
10035	Deon-Zeon 917 5253
10036	2_Deon-Zeon 7041 4642
10037	??? 3809 8233
10038	??? 9752 1330
10039	??? 1917 2900
10040	??? 9239 1836
10041	??? 8316 2154
10042	??? 9772 1850
10043	??? 3819 2969
10044	??? 10189 1484
10045	??? 3819 2969
10046	??? 9774 1501
10047	??? 2699 6752
10048	??? 9679 1994
10049	??? 2699 6752
10050	??? 9256 2012
10051	???? 3478 6189
10052	??? 9780 1995
10053	???? 3478 6189
10054	??? 10190 2002
10055	???? 6011 6874
10056	??? 4368 2158
10057	??? 3355 7558
10058	???? 5943 1337
10059	???1 0 10496
10060	????1 1536 10496
10061	????1 4608 10496
10062	???1 6144 10496
10063	??? 3031 266
10064	???? 11133 534
10065	???? 7754 10553
10066	????? 9915 11195
10067	MonkeyDungeon 7752 4477
10068	Yayang_Area 4062 8756
10069	MonkeyDungeon 8520 4477
10070	Bokjung_Area 1611 2130
10071	MonkeyDungeon 9288 4477
10072	Bakra_Area 8727 2100
10073	Yongbi_Desert 3061 6202
10074	MonkeyDungeon 1352 6532
10075	Yongbi_Desert 2879 5407
10076	MonkeyDungeon 1352 7300
10077	????1? 9 12078
10078	??? 2842 8106
10079	Grotto1 1459 13236
10080	????2? 2413 12755
10081	????1? 99 13618
10082	???? 5028 9998
10083	????1? 1360 14972
10084	????2? 2414 14289
10085	????1? 99 15154
10086	???? 616 1148
10087	????1? 1360 16508
10088	????2? 2414 15825
10089	????1? 99 16690
10090	???? 9609 3188
10091	????1? 1360 18044
10092	????2? 2414 17361
10093	Dragon_Gate 1731 12205
10094	Dragon_Gate 1733 13743
10095	Dragon_Gate 1728 15277
10096	Dragon_Gate 1724 16824
10097	SD2 7040 5235
10098	SD3 984 5711
10099	Cape 11043 17885
10100	Cape 10963 16744
10101	Nephrite 10869 16558
10102	Cape 11664 16779
10103	Thunder 11345 16546
10104	Thunder 11921 16550
10105	Gautama 12263 16811
10106	³ì¸²Áö 8168 15050
10501	. 345 361
10502	. 106 547
10503	. 75 368
10504	. 89 746
10505	. 520 352
10506	. 541 45
10507	. 211 109
10508	. 615 49
10509	. 284 705
10510	. 145 310
10511	. 553 285
10512	. 487 274
10513	. 626 291
